"","mz","rt","S_1","S_2","S_3","S_4","S_5","S_6","S_7","S_8","S_9","S_10","B_1","NIST_1","SP_1","S_11","S_12","S_13","S_14","S_15","S_16","S_17","S_18","S_19","S_20","B_2","NIST_2","SP_2","S_21","S_22","S_23","S_24","S_25","S_26","S_27","S_28","S_29","S_30","B_3","NIST_3","SP_3","S_31","S_32","S_33","S_34","S_35","S_36","S_37","S_38","S_39","S_40","B_4","NIST_4","SP_4","S_41","S_42","S_43","S_44","S_45","S_46","S_47","S_48","S_49","S_50","B_5","NIST_5","SP_5","S_51","S_52","S_53","S_54","S_55","S_56","S_57","S_58","S_59","S_60","B_6","NIST_6","SP_6","S_61","S_62","S_63","S_64","S_65","S_66","S_67","S_68","S_69","S_70","B_7","NIST_7","SP_7","S_71","S_72","S_73","S_74","S_75","S_76","S_77","S_78","S_79","S_80","B_8","NIST_8","SP_8","S_81","S_82","S_83","S_84","S_85","S_86","S_87","S_89","S_90","B_9","NIST_9","SP_9","S_91","S_92","S_93","S_94","S_95","S_96","S_97","S_98","S_99","S_100","B_10","NIST_10","SP_10","S_101","S_102","S_103","S_104","S_105","S_106","S_107","S_108","S_109","S_110","pValue"
"5","129.0182663","1.210705362","119026766.2","128491523.5","139160745.7","109718480.2","127220393.6","116181722.9","127029514.4","126817614.4","114404563.7","137864176.1","","702716.0418","125777568.6","101541611.9","132375371.4","127809634","117138908","123965183.4","129981404.8","131010548.2","118587121.4","116319246","116681103.6","267585.2151","791329.5277","128231250.1","114260024.9","118997160","113983107","132752935","128279537.3","122551974.7","99100125.16","141937322.6","123621431.9","118631273.4","","896652.4996","126865118.9","125774744.7","135052317.3","123369349.9","109916480.8","133432716.1","126745964.6","135184576.8","114115072.4","123113004.8","117349493.3","160026.1203","843377.901","123610995.6","123933847.2","136264194.2","125339823.5","114867937.1","130589319.8","117510350","131054599.9","122330577.3","125538764.9","137114673.5","290645.3317","1004802.308","119433576.7","116091492.7","108784150.4","118978395","129500835.5","108807069.8","96956172.39","117745672.1","107180895.2","125864500.5","118901559","218578.0454","813179.8062","126265136","123307492.6","139515955.9","112029923.2","120353383.7","117555464.7","108785750.2","140424450.8","186495474.6","109583097.9","111882433","479027.8436","919351.7032","119018768.3","115278640.1","117853571.2","127513106.9","129256392.2","116835336.1","137477377.5","133659911.6","115458844.9","136409532.6","112513230.7","412521.6337","846811.0547","116489358.5","125952610.6","120079634","98021759.72","115323956.6","107154277.7","111830351.7","115410238.6","111174680.6","115789799.3","235189.1727","777557.2164","130933966.1","103095493.2","112504083.4","120993285.3","118388670.9","101403944.4","123136501.5","114564081.9","110470557.5","91786531.52","128457729.8","196218.6597","1073087.918","118701416.6","121751530.6","113119950.4","137715822.2","102301367.5","120277932.8","121711426.2","107765590","104347794.5","113330903.1","130224996.1","0.21874142359058069"
"6","129.0182457","1.117220401","103602086.5","109059007","122777685.8","99729202.32","99301431.06","111726188","108876756.4","117415227.4","108379712.7","126384087.8","486678.9685","273912.7072","114819203.3","91455745.62","130644084.1","113157751","110251723","112810494.5","123963618.5","118379605.6","97068145.82","","106770333.5","542618.1595","272631.8808","111595564.1","101988177","106849577.2","110981178.1","120036545.6","114749539.7","118542445.4","94917043.43","132132112.5","116069852.5","108599320.7","293987.5778","269491.2276","113181271.5","112059737.3","124915466.2","114603990.4","102786964.2","109595065.7","122973817.4","138728621.1","108059933.1","106682585.5","107659997.4","141519.5271","373647.7494","104756700.8","102108731","119950370.5","116393670.6","108810923.1","112069969","102122924.9","111491680.9","103352826.8","102168130.2","123455010.2","151224.4102","425819.5161","115469361.2","101388561.4","106594365.5","97932251.94","115168909.3","102814684.7","","103853623.5","90046312.19","103785066.5","107058351.9","204096.903","412940.4397","112624318.4","125172740.4","121221903.1","","105331581.2","113472089.3","98804746.17","126729868","","98395432.25","113500511.4","182600.9281","384337.1799","103453583.2","102827747.9","107010300.3","116086680.2","115861055.7","105732932.5","120679629.4","113098619.2","108476170.1","118348254.3","104961727.7","190043.1362","441352.7825","103414307.3","228882034.7","220500673.9","186017644.7","101888960.3","99854626.68","207801325.3","218932987.2","201738105.7","220451007.8","175331.3111","","106131163.3","90283319.8","216098583.2","108914093.3","228729955.6","195294790.7","228408789.8","217525404.1","210533685.5","163357069.3","103258860.4","","443569.5941","214901139.9","224506459.1","210217161","113314249.8","188758333","224187534.1","102442659.3","208665318.6","190531350.1","206512899.4","118198891.5","0.03731562711044001"
"7","132.1019493","1.750517338","68254278.89","120760301","100528623.5","88435103.16","97367656.43","111266561.4","97439054.73","118656902.8","93338658.74","85596390.69","1614600.587","107073911.4","101268383.4","93576472.7","113204264.1","108182132.5","","95175344.43","103404098.2","91235499.96","71933938.54","94700770.67","80537262.36","1294017.953","98749591.21","96356375.42","96357075.57","60789425.5","82982234.98","91991729.62","124744426.9","93057064.83","127602997.8","127255425.5","118408584.8","72507770.44","1899971.904","104681288.8","94943568.84","62988314.07","118576024.9","91713548.62","105984960.2","71785559.57","112097965","70925290.29","92253202","100980715.1","96922999.49","98006950.03","116441764","106723599.6","144933933.6","95697123.65","90998698.41","116439340.1","107528851.2","88124921.44","106954664.7","96023085","104001824.5","122650648","1771271.935","123309498.1","103647439.6","137245956.3","99268088.15","113705621.9","103008407.4","117485289.6","87089380.04","123902534.5","98858585.56","130963959.8","110614608.3","1639287.798","116451724.1","108409653.2","119220921.7","","74973720.05","93858972.14","84228579.02","76571718.77","120994953.6","92547641.61","97791181.83","101982050.7","8653796.526","115837844.6","101817958.1","96741736.54","98047391.65","105264303.9","124201719.8","87991540.7","79745674.81","107411910.8","102433374.6","84294988.23","86265582.14","2357468.428","115058490.5","99940926.47","75399020.01","141744553.2","102006727.6","","126353355","100025384.3","108881783.1","107421976.1","123883856.4","2284364.031","95122466.77","114840789.3","58686634.95","96929066.52","105910299.5","93220384.52","109481693.1","103899281.6","97261815.62","123664685.6","100099308","138020345.3","5910536.071","95517154.59","96416521.69","105185922.3","91378576.79","84577772.29","120125670.1","89599118.68","88005102.64","85069870.49","99902928.91","99967164.3","96120430.28","0.06337805161602339"
"14","139.0025616","1.208167319","63829508.42","67293647.61","77177762.58","60868292.24","69353642.71","62702023.18","68703438.61","69352601.64","63367117.19","73491088","","353588.4109","69018252.81","56293101.68","72852618.08","69551885.04","64215300.76","68524779.48","70089732.38","73009149.93","62667331","64651167.44","61830437.95","","339324.6445","72154561.43","62945598.66","66323018.54","62233032.2","73083888.79","67893220.77","68460564.72","55355908.44","77086437.15","65557889.32","65688513.47","","366754.5399","67043647.37","69353097.95","73764408.06","65205050.89","59973919.01","64810171.35","68628925.53","73662801.88","61489921.68","63235321.77","59845007.15","","290435.9584","63466372.03","63123531.64","70249389.55","66994411.96","57396460.81","66429755.96","60442520.07","68295957.25","63720215.99","66618529.57","69280152.63","","490022.4134","59293249.14","59562334.12","54884994.11","59885120.4","66880555.49","56150383.48","51633393.31","60698832.34","54796204.19","64942779.99","61720978.29","","310724.0377","64120773.27","62506632.46","70433469.51","61129277.04","59848141.91","61264096.15","56628369.98","73139190.28","56610546.05","54159614.19","58956908.18","","408677.6767","60010782.96","59904511.39","58680121.44","65405735.29","67985056.51","59093805.49","67979358.97","70136401.21","59547776.88","68550965.18","58636394.27","","334866.2232","61847006.85","66677562.42","60657695.97","48408096.02","59780541.72","55379355.46","58367893.17","59687246.38","54769793.31","61413549.06","","411812.487","65809194.82","47601291.42","58521213.57","63711854.9","62240998.32","52924659.95","62962457.47","58145584.13","57886918.26","45692971.11","65223742.08","","497534.3522","59234613.7","62803116.33","58788206.78","71473590.89","50667240.61","60530809.95","63762761.63","107680835.8","52563973.92","58901132.37","69356075.85","0.8848986968973607"
"16","139.0025553","1.120093266","57456194.02","60592059.63","67741320.12","54745187.55","56192015.26","62029795.53","59847895","65579482.7","60655377.67","68315071.69","","136335.5166","63869590.2","51841599.96","72037163.22","64039257.48","62025031.68","62394408.37","68135576.13","65657027.21","54565008.45","","59297840.78","","105056.2842","63116210.14","56756379.89","59849256.24","61952316.81","65366911.77","63814283.2","67248437.5","48887204.1","73593363.88","64418402.22","60430843.53","","128076.3674","62647964.44","60413488.26","69214151.99","63717736.66","55838470.51","66552041.88","66812668.6","76543373.65","58957271.5","55528166.73","55895880.61","","","55536021.33","54023081.72","62734538.52","60591165.39","56239139.34","59061827.85","52576629.33","59730904.15","54282414.08","53797297.43","65399473.08","","194906.2155","59791466.2","52933821.47","54962009.33","51548628.22","59250536.33","54249784.92","","55368410.02","102656993.8","54567061.94","54708846.03","","","59068678.22","65037849.99","64018948.87","58270728.27","55311378.79","59406841.65","50980461.4","65771795.25","98758220.15","50903277.2","58251800.05","","179675.1172","53812313.63","52924751.6","55229577.89","59726757.7","59324460.29","55471336.67","63351077.84","59064277","56374665.9","61031860.91","55312607","","206049.3786","54092076.26","119979044.9","113405770.4","93935107.88","53618894.32","52060460.23","108466181.7","112927405.7","102261387.3","115646703.1","","","54107346.27","","112451884.3","55801823.88","119129303.8","102332832.1","117895143.1","54386533.86","110559580.9","83095753.76","53669483.63","","229579.7007","109398366.7","116910203.1","109398562.8","59466391.8","95777082.12","115165315.2","53558932.15","","97448586","107087304.3","56324205.69","0.06195727003450224"
"19","147.0288318","1.21058968","51571688.34","54955270.49","59931022.35","47194909.69","53720551.7","50009735.38","54048458.73","54021413.58","48931372.01","58243134.36","","314410.4671","54114962.31","43429133.28","57762988.56","53849709.64","49561116.48","50964454.43","56287258.46","56043811.15","49463356.43","50092463.74","49248671.45","108216.8935","318975.5105","53245697.46","47424828.56","50426011.54","47814015.26","57593726.53","54709169.07","51834164.05","44169666.53","59841900.43","51799296.44","49899952.73","68623.70765","334969.9434","54450888.05","53271477.97","56220166.65","52131652.05","46475816.93","56048348.49","53255803.22","57571245.65","48056376.32","52181630.96","50775023.57","90572.39487","323727.6386","53171015.78","52616410.21","57708330.95","53167815.69","48522263.99","56574755.73","50648340.47","56760736.48","51121823.59","54385810.06","58000164.06","74046.55862","372562.7526","51180888.73","50208224.92","47265484.07","51456018.03","55798964.3","47818532.86","46314488.62","51043051.8","46177343.51","53952801.3","51310693.93","74198.4977","332772.035","53793022.03","53871222.12","59908456.37","50860992.9","52812534.05","51362307.01","47409529.81","61432595.47","46677885.7","48684031.7","49481429.64","94927.87868","356827.2219","52133219.18","49919712.93","51304257.99","55389469.17","56883735.93","50911385.04","60276115.56","58096473.23","50640151.4","59226340.83","49130700.98","82535.93878","319290.6379","49905928.41","54546963.71","51128245.46","43250721.28","50304531.67","46248486.46","48132366.77","49954058.68","47783937.9","50718357.57","106249.4958","343484.8014","56555393.16","45218477.46","48804547.39","52546019.99","51453442.11","44731226.2","52909061.24","49759386.05","47814684.63","40396282.76","55782567.16","181336.8742","279230.9751","50882664.32","52711476.31","49157691.92","59814633.89","44338990.18","52807583.16","52107522.33","45463485.57","45409232.04","49756199.95","56540331.47","0.5228125785154787"
"31","157.0131785","1.208436377","23433094.39","23864517.85","27207079.37","21354337.12","25194953.36","22514344.83","24634442.39","24769012.93","21570369.88","26072920.14","","126697.1652","23993933.16","19962755.79","25785374.98","24831484.78","23361106.92","24656756.89","24830947","25704597.72","22822467.91","13985331.88","22220658.05","","138758.6092","24744736.97","22181570.19","22992423.99","21592759.2","26307873.58","24386497.18","23973870.83","18572977.84","27266087.86","23216021.58","22821750.11","","146247.1633","24215614.36","24721786.55","25912184.2","23227514.47","20596284.62","22903532.28","23854934.76","25583247.65","21208795.04","22790295.68","22355620.68","","121415.5641","23363792.13","22635130.3","24529523.18","24147832.53","20927126.8","24242626.11","22384741.27","25291214.59","22860149.3","23789322.79","25135800.71","","164912.3307","21716213.07","22053289.05","20115164.33","22080251.3","23963026.02","21260910.68","20496833.63","21969374.28","19803289.84","23760362.59","22264327.86","","150362.9917","23970544.52","23055607.66","25805667.69","22387065.18","22518558.6","21743038.5","21354654.28","27013105.67","20828567.73","20648303.45","21950401.74","","166275.6484","22304247.06","22194265.33","21994618.59","24541768.25","25110397.58","22313271.94","25621428.12","25983740.44","22068236.46","25680600.46","21542600.41","","133271.6839","21158704.25","43589541.95","22361353.43","18073637.27","21212176.23","19893082.01","21367567.78","21414419.62","20582855.64","21799373.31","","133610.5649","24180210.19","19633658.15","20872239.06","23274703.92","22681486.5","19041505.75","23252037.54","21503168.35","21259969.12","17252035.6","23995629.54","","101043.0131","21865186.89","23394662.16","21511165.65","26674413.25","19258777.06","22619922.26","23411755.57","20500716.19","19125853.51","21666888.65","24042847.26","0.7713287538095538"
"34","175.0237145","1.2069806","20210946.2","21360254.21","23789458.88","19144990.42","21190188.23","19980350.14","21746869.91","22110103.31","19875022.92","23466878.97","","107186.3227","22323122.24","17696466.39","23810025.79","21210911.51","19980491.33","21169649.39","23277587.8","22880264.13","19545850.44","20176583.36","18975895.68","","110426.9267","21381816.98","18964884.69","20248550.6","19115318.32","22915631.26","21876928.78","21094772.74","17681437.05","24165476.01","21246875.17","19607039.28","","106096.2727","21819232.85","21269014.43","22765447.37","21335567.04","18653283.87","22738800.43","21109677.82","23435573.28","18838372.73","19559590.15","19487643.54","","110016.7137","20154354.88","20308864.9","21438148.85","20420019.02","18716439.01","17257864.12","19482129.42","21318880.24","19367461.02","21461759.14","22266754.73","","134374.7277","18963947.78","19015305.58","18340554.92","19851629.95","20950833.86","17878847.63","17703965.74","19401045.99","17456307.9","20618876.75","19618020.97","","125622.8468","20293079.85","20931630.15","22332646.23","18274709.5","19222840.9","21005742.06","18055797.76","23349469.67","31790977.79","18316417.5","18405464.05","","120304.9594","19661753.17","18851939.61","19357916.35","20755731.25","21245598.14","18582218.99","22522553.05","21524922.21","19210649.28","19163796.47","18439026.53","","110580.0559","18487785.33","21173227.44","19838981.89","16899947.49","19936429.39","17664785.75","18608201.98","19102636.49","18209105.44","37710394.47","","170441.4954","21288228.8","17396673.2","18972688.06","20649639.99","19985307.52","17351969.65","20023438.53","19035750.09","18736218.62","15434714.22","21209202.56","","89367.14397","19457376.02","20522463.22","18800092.38","22987945.07","16910227.53","19771860.26","19799552.02","34246519.79","15848973.26","35828915.11","21121700.84","0.5371233398886859"
"37","90.97665353","0.570597169","20197486.06","21846553.47","23289594.22","19751060.37","20308049.27","20525523.01","20406016.57","21030257.64","19914064.09","21874234.51","8961537.593","22332117.73","21317499.28","16758867.41","22033489.76","20167069.02","20200576.58","20079816.72","21898407.62","20831476.05","19050954.21","20230022.87","19930741.61","8756546.334","25427796.01","21047020.4","18647902.18","19175559.41","19547789.23","22531537.36","22481971.75","22041384.24","18603157.07","23778307.82","20994704.08","19811267.07","8986615.561","24977541.39","21609292.49","20940667.36","23151994.74","19678615.57","20272016.28","20867168.77","21425555.61","22346945.18","18965505.79","19706336.14","19577139.57","12578773.01","24954028.73","19539170.2","19066025.73","21463479.95","20202855.33","18538833.77","19970496.94","18778391.76","20813658.96","19513111.86","19142479.72","21878912.39","9158490.334","25294815.03","20868598.41","19645139.66","18262796.69","19360997.86","19601161.8","18472390.16","17781995.98","19415486.6","17293586.66","19897287.88","20144202.34","12371197.29","25479228.61","20992819.68","20347823.81","21965279.44","20739934.94","20145998.28","19722448.31","18437078.83","20552107.11","17303151.33","17509632.53","19064133.35","11914937.72","25309357.16","19693629.81","19016501.49","19319706.5","20813066.76","23176774.47","18983071.45","23075013.89","21889572.98","20180455.93","22579122.03","19856806.55","10345788.8","23586307.28","18969230.45","19243038.38","17766567.82","16333721.59","17927119.92","18388524.49","18348654.16","18244498.63","18074580.37","20878570.19","16998015.8","20257781.33","20298085.98","16690112","18877385.04","19210920.29","20495345.92","17929332.74","20286239.58","19113107.22","18256246.88","16646536.77","21779395.41","14784343.23","19522098.91","18686694.95","18898534.33","19010027.84","22006209.31","16731156.64","19917984.7","18987068.68","18044270.55","16116234.62","19800877.21","20200982.31","0.719751029914609"
"39","193.0342912","1.207044378","18973861.29","19939949.7","22073428.74","17639086.47","18916803.44","18140869.56","19796362.21","20295036.75","18332705.59","21350447.57","","88522.49419","20360173.23","15919667.53","21707898.72","19545853.6","17851734.77","19244737.6","21472091.39","20730311.97","17013958.75","18254096.88","17323690.51","","89529.28048","19041216.16","16561477.72","18398384.35","16844395.01","20893734.76","19398208.26","18664222.41","16258182.87","21448891.84","18850104.25","17421162.07","","89865.83663","19770810.2","19544220.37","20690506.84","19037945.17","16940101.84","20137321.96","18675356.99","20748632.13","17088581.04","19044620.84","18774455.43","","99400.42416","19588708.51","19276488.48","20980140.31","19500363.69","17128385.15","20674874.21","18492739.09","20527906.27","18295758.51","21046567.81","20915071.87","","112278.4906","18631877.56","18514805.14","17562432.33","19374913.62","20069262.7","17852661.4","16995404.01","18486140.4","16906276.94","20238443.33","19017112.65","","92468.6876","19844413.53","20249301.45","19202954.96","17671844.75","19448293.23","20747718.82","17781989.63","23365482.83","17607180.79","18718139.86","18482441.59","","121247.965","19735734.38","18506621.75","19659543.08","21030217.47","21781158.49","18774757.05","22660659.45","21452622.1","19653769.65","21676455.35","18261653.95","","98215.59334","18464462.29","20630588.03","19382684.76","16702245.3","19667477.59","16929400.93","18065005.04","18409516.8","17505081.26","19452702.85","","144486.7465","20566652.64","17129987.36","18727506.14","19819331.79","21188275.26","17400597.9","19440061.76","18217070.48","17962836.36","27405704.85","20893282.32","","137262.6394","18506840.28","20120229.52","18347593.1","22579370.77","16232301.39","19660479.74","19310739","32374953.68","17569622.26","18610968.35","19336223.04","0.27077867514086473"
