,mz,rt,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,B_1,NIST_1,SP_1,S_11,S_12,S_13,S_14,S_15,S_16,S_17,S_18,S_19,S_20,B_2,NIST_2,SP_2,S_21,S_22,S_23,S_24,S_25,S_26,S_27,S_28,S_29,S_30,B_3,NIST_3,SP_3,S_31,S_32,S_33,S_34,S_35,S_36,S_37,S_38,S_39,S_40,B_4,NIST_4,SP_4,S_41,S_42,S_43,S_44,S_45,S_46,S_47,S_48,S_49,S_50,B_5,NIST_5,SP_5,S_51,S_52,S_53,S_54,S_55,S_56,S_57,S_58,S_59,S_60,B_6,NIST_6,SP_6,S_61,S_62,S_63,S_64,S_65,S_66,S_67,S_68,S_69,S_70,B_7,NIST_7,SP_7,S_71,S_72,S_73,S_74,S_75,S_76,S_77,S_78,S_79,S_80,B_8,NIST_8,SP_8,S_81,S_82,S_83,S_84,S_85,S_86,S_87,S_89,S_90,B_9,NIST_9,SP_9,S_91,S_92,S_93,S_94,S_95,S_96,S_97,S_98,S_99,S_100,B_10,NIST_10,SP_10,S_101,S_102,S_103,S_104,S_105,S_106,S_107,S_108,S_109,S_110
0,132.1019747,1.89149973,133826944.3,211040695,179417105.6,157368165,190336975.6,179324405.9,174380853.3,182469749.2,167536688.9,154382426.7,2203972.593,177972610.6,171186396.8,147570459,208038256.6,197537176.7,90165725.7,149054135.9,172575183.1,144065325.2,143182716.6,172684038.1,152772148.6,1867928.294,179202547,170478587.3,160532200.1,117486311.2,148539191.1,157176662.7,229675511.3,165508182.6,203411672.2,218902854,207166981.2,137264806.5,2944702.588,177909065.8,159972373,114294790.9,189600734.1,154981879.4,169143556,132484031.5,185630398.1,127471862.9,170992298.7,159216558.6,181120543.5,6729506.469,198353305.9,184948022.1,238997221.9,166613832.4,168728355,193877244.1,167343357.9,170352930.5,182926702,163475996.6,172710212.6,220950594.3,2860196.247,202752364.7,180348616.4,189534699,182588306.3,190039587.4,186539855.4,196414695.7,150467408.7,215804578.4,159630971.9,205246988.7,178164074.7,2453101.541,199025226.1,176001896,209285279.5,129895238.6,131903377.2,174535115.1,156195838,156400104.7,188705434.4,159897896.8,164688887,192110395.3,10824420.44,191465986.9,172484909.7,191634369.4,185118116.8,181340691.4,190534149.1,164796899.6,158026997,187877021.9,182273264.3,145175731.2,158709485.9,3391742.288,195639234,172061810.6,153109431.6,211777798.9,178042021.8,101825287.5,209929503.4,177628074.3,187409352,195439269.8,200011259.1,3110723.264,160590737.5,183118144.7,119270234.6,172532470.2,186496799,161086483.7,188649065.5,165990472.6,155386160.6,209936265.4,153181416.5,241534784.2,8558241.981,164754198,170813015.6,200935545.4,165516122.2,148910367,224737863.5,159846109.7,156795522.2,148788057.9,160127437.3,187512715.9,134369577.3
5,129.0182663,1.210705362,119026766.2,128491523.5,139160745.7,109718480.2,127220393.6,116181722.9,127029514.4,126817614.4,114404563.7,137864176.1,,702716.0418,125777568.6,101541611.9,132375371.4,127809634,117138908,123965183.4,129981404.8,131010548.2,118587121.4,116319246,116681103.6,267585.2151,791329.5277,128231250.1,114260024.9,118997160,113983107,132752935,128279537.3,122551974.7,99100125.16,141937322.6,123621431.9,118631273.4,,896652.4996,126865118.9,125774744.7,135052317.3,123369349.9,109916480.8,133432716.1,126745964.6,135184576.8,114115072.4,123113004.8,117349493.3,160026.1203,843377.901,123610995.6,123933847.2,136264194.2,125339823.5,114867937.1,130589319.8,117510350,131054599.9,122330577.3,125538764.9,137114673.5,290645.3317,1004802.308,119433576.7,116091492.7,108784150.4,118978395,129500835.5,108807069.8,96956172.39,117745672.1,107180895.2,125864500.5,118901559,218578.0454,813179.8062,126265136,123307492.6,139515955.9,112029923.2,120353383.7,117555464.7,108785750.2,140424450.8,186495474.6,109583097.9,111882433,479027.8436,919351.7032,119018768.3,115278640.1,117853571.2,127513106.9,129256392.2,116835336.1,137477377.5,133659911.6,115458844.9,136409532.6,112513230.7,412521.6337,846811.0547,116489358.5,125952610.6,120079634,98021759.72,115323956.6,107154277.7,111830351.7,115410238.6,111174680.6,115789799.3,235189.1727,777557.2164,130933966.1,103095493.2,112504083.4,120993285.3,118388670.9,101403944.4,123136501.5,114564081.9,110470557.5,91786531.52,128457729.8,196218.6597,1073087.918,118701416.6,121751530.6,113119950.4,137715822.2,102301367.5,120277932.8,121711426.2,107765590,104347794.5,113330903.1,130224996.1
6,129.0182457,1.117220401,103602086.5,109059007,122777685.8,99729202.32,99301431.06,111726188,108876756.4,117415227.4,108379712.7,126384087.8,486678.9685,273912.7072,114819203.3,91455745.62,130644084.1,113157751,110251723,112810494.5,123963618.5,118379605.6,97068145.82,,106770333.5,542618.1595,272631.8808,111595564.1,101988177,106849577.2,110981178.1,120036545.6,114749539.7,118542445.4,94917043.43,132132112.5,116069852.5,108599320.7,293987.5778,269491.2276,113181271.5,112059737.3,124915466.2,114603990.4,102786964.2,109595065.7,122973817.4,138728621.1,108059933.1,106682585.5,107659997.4,141519.5271,373647.7494,104756700.8,102108731,119950370.5,116393670.6,108810923.1,112069969,102122924.9,111491680.9,103352826.8,102168130.2,123455010.2,151224.4102,425819.5161,115469361.2,101388561.4,106594365.5,97932251.94,115168909.3,102814684.7,,103853623.5,90046312.19,103785066.5,107058351.9,204096.903,412940.4397,112624318.4,125172740.4,121221903.1,,105331581.2,113472089.3,98804746.17,126729868,,98395432.25,113500511.4,182600.9281,384337.1799,103453583.2,102827747.9,107010300.3,116086680.2,115861055.7,105732932.5,120679629.4,113098619.2,108476170.1,118348254.3,104961727.7,190043.1362,441352.7825,103414307.3,228882034.7,220500673.9,186017644.7,101888960.3,99854626.68,207801325.3,218932987.2,201738105.7,220451007.8,175331.3111,,106131163.3,90283319.8,216098583.2,108914093.3,228729955.6,195294790.7,228408789.8,217525404.1,210533685.5,163357069.3,103258860.4,,443569.5941,214901139.9,224506459.1,210217161,113314249.8,188758333,224187534.1,102442659.3,208665318.6,190531350.1,206512899.4,118198891.5
7,132.1019493,1.750517338,68254278.89,120760301,100528623.5,88435103.16,97367656.43,111266561.4,97439054.73,118656902.8,93338658.74,85596390.69,1614600.587,107073911.4,101268383.4,93576472.7,113204264.1,108182132.5,,95175344.43,103404098.2,91235499.96,71933938.54,94700770.67,80537262.36,1294017.953,98749591.21,96356375.42,96357075.57,60789425.5,82982234.98,91991729.62,124744426.9,93057064.83,127602997.8,127255425.5,118408584.8,72507770.44,1899971.904,104681288.8,94943568.84,62988314.07,118576024.9,91713548.62,105984960.2,71785559.57,112097965,70925290.29,92253202,100980715.1,96922999.49,98006950.03,116441764,106723599.6,144933933.6,95697123.65,90998698.41,116439340.1,107528851.2,88124921.44,106954664.7,96023085,104001824.5,122650648,1771271.935,123309498.1,103647439.6,137245956.3,99268088.15,113705621.9,103008407.4,117485289.6,87089380.04,123902534.5,98858585.56,130963959.8,110614608.3,1639287.798,116451724.1,108409653.2,119220921.7,,74973720.05,93858972.14,84228579.02,76571718.77,120994953.6,92547641.61,97791181.83,101982050.7,8653796.526,115837844.6,101817958.1,96741736.54,98047391.65,105264303.9,124201719.8,87991540.7,79745674.81,107411910.8,102433374.6,84294988.23,86265582.14,2357468.428,115058490.5,99940926.47,75399020.01,141744553.2,102006727.6,,126353355,100025384.3,108881783.1,107421976.1,123883856.4,2284364.031,95122466.77,114840789.3,58686634.95,96929066.52,105910299.5,93220384.52,109481693.1,103899281.6,97261815.62,123664685.6,100099308,138020345.3,5910536.071,95517154.59,96416521.69,105185922.3,91378576.79,84577772.29,120125670.1,89599118.68,88005102.64,85069870.49,99902928.91,99967164.3,96120430.28
14,139.0025616,1.208167319,63829508.42,67293647.61,77177762.58,60868292.24,69353642.71,62702023.18,68703438.61,69352601.64,63367117.19,73491088,,353588.4109,69018252.81,56293101.68,72852618.08,69551885.04,64215300.76,68524779.48,70089732.38,73009149.93,62667331,64651167.44,61830437.95,,339324.6445,72154561.43,62945598.66,66323018.54,62233032.2,73083888.79,67893220.77,68460564.72,55355908.44,77086437.15,65557889.32,65688513.47,,366754.5399,67043647.37,69353097.95,73764408.06,65205050.89,59973919.01,64810171.35,68628925.53,73662801.88,61489921.68,63235321.77,59845007.15,,290435.9584,63466372.03,63123531.64,70249389.55,66994411.96,57396460.81,66429755.96,60442520.07,68295957.25,63720215.99,66618529.57,69280152.63,,490022.4134,59293249.14,59562334.12,54884994.11,59885120.4,66880555.49,56150383.48,51633393.31,60698832.34,54796204.19,64942779.99,61720978.29,,310724.0377,64120773.27,62506632.46,70433469.51,61129277.04,59848141.91,61264096.15,56628369.98,73139190.28,56610546.05,54159614.19,58956908.18,,408677.6767,60010782.96,59904511.39,58680121.44,65405735.29,67985056.51,59093805.49,67979358.97,70136401.21,59547776.88,68550965.18,58636394.27,,334866.2232,61847006.85,66677562.42,60657695.97,48408096.02,59780541.72,55379355.46,58367893.17,59687246.38,54769793.31,61413549.06,,411812.487,65809194.82,47601291.42,58521213.57,63711854.9,62240998.32,52924659.95,62962457.47,58145584.13,57886918.26,45692971.11,65223742.08,,497534.3522,59234613.7,62803116.33,58788206.78,71473590.89,50667240.61,60530809.95,63762761.63,107680835.8,52563973.92,58901132.37,69356075.85
16,139.0025553,1.120093266,57456194.02,60592059.63,67741320.12,54745187.55,56192015.26,62029795.53,59847895,65579482.7,60655377.67,68315071.69,,136335.5166,63869590.2,51841599.96,72037163.22,64039257.48,62025031.68,62394408.37,68135576.13,65657027.21,54565008.45,,59297840.78,,105056.2842,63116210.14,56756379.89,59849256.24,61952316.81,65366911.77,63814283.2,67248437.5,48887204.1,73593363.88,64418402.22,60430843.53,,128076.3674,62647964.44,60413488.26,69214151.99,63717736.66,55838470.51,66552041.88,66812668.6,76543373.65,58957271.5,55528166.73,55895880.61,,,55536021.33,54023081.72,62734538.52,60591165.39,56239139.34,59061827.85,52576629.33,59730904.15,54282414.08,53797297.43,65399473.08,,194906.2155,59791466.2,52933821.47,54962009.33,51548628.22,59250536.33,54249784.92,,55368410.02,102656993.8,54567061.94,54708846.03,,,59068678.22,65037849.99,64018948.87,58270728.27,55311378.79,59406841.65,50980461.4,65771795.25,98758220.15,50903277.2,58251800.05,,179675.1172,53812313.63,52924751.6,55229577.89,59726757.7,59324460.29,55471336.67,63351077.84,59064277,56374665.9,61031860.91,55312607,,206049.3786,54092076.26,119979044.9,113405770.4,93935107.88,53618894.32,52060460.23,108466181.7,112927405.7,102261387.3,115646703.1,,,54107346.27,,112451884.3,55801823.88,119129303.8,102332832.1,117895143.1,54386533.86,110559580.9,83095753.76,53669483.63,,229579.7007,109398366.7,116910203.1,109398562.8,59466391.8,95777082.12,115165315.2,53558932.15,,97448586,107087304.3,56324205.69
19,147.0288318,1.21058968,51571688.34,54955270.49,59931022.35,47194909.69,53720551.7,50009735.38,54048458.73,54021413.58,48931372.01,58243134.36,,314410.4671,54114962.31,43429133.28,57762988.56,53849709.64,49561116.48,50964454.43,56287258.46,56043811.15,49463356.43,50092463.74,49248671.45,108216.8935,318975.5105,53245697.46,47424828.56,50426011.54,47814015.26,57593726.53,54709169.07,51834164.05,44169666.53,59841900.43,51799296.44,49899952.73,68623.70765,334969.9434,54450888.05,53271477.97,56220166.65,52131652.05,46475816.93,56048348.49,53255803.22,57571245.65,48056376.32,52181630.96,50775023.57,90572.39487,323727.6386,53171015.78,52616410.21,57708330.95,53167815.69,48522263.99,56574755.73,50648340.47,56760736.48,51121823.59,54385810.06,58000164.06,74046.55862,372562.7526,51180888.73,50208224.92,47265484.07,51456018.03,55798964.3,47818532.86,46314488.62,51043051.8,46177343.51,53952801.3,51310693.93,74198.4977,332772.035,53793022.03,53871222.12,59908456.37,50860992.9,52812534.05,51362307.01,47409529.81,61432595.47,46677885.7,48684031.7,49481429.64,94927.87868,356827.2219,52133219.18,49919712.93,51304257.99,55389469.17,56883735.93,50911385.04,60276115.56,58096473.23,50640151.4,59226340.83,49130700.98,82535.93878,319290.6379,49905928.41,54546963.71,51128245.46,43250721.28,50304531.67,46248486.46,48132366.77,49954058.68,47783937.9,50718357.57,106249.4958,343484.8014,56555393.16,45218477.46,48804547.39,52546019.99,51453442.11,44731226.2,52909061.24,49759386.05,47814684.63,40396282.76,55782567.16,181336.8742,279230.9751,50882664.32,52711476.31,49157691.92,59814633.89,44338990.18,52807583.16,52107522.33,45463485.57,45409232.04,49756199.95,56540331.47
20,147.0288034,1.117315779,45274320.99,47420976.65,53879305.84,43506495.03,44048875.76,48391712.86,46613989.85,49819226.58,45970614.34,54476825.99,,86881.96336,48875116.3,39353810.46,56442016.57,48602273.82,47144011.41,52060461.91,53376655.47,52822946.95,42473612.36,,45793918.17,,100988.6733,48433378.84,44632044.47,45963865.33,47198803.32,51627925.34,50426321.62,49870212.05,38010309.42,55065766.96,49968289.52,47059650.33,,107869.2496,48407633.41,48955453.23,51611826.64,47859028.44,43974555.92,48471281.46,52051917.67,59810912.73,45630075.67,44669960.81,44975507.74,94984.65559,145262.8267,44550295.65,44425411.52,51803459.85,49604962.7,45197686.04,47053389.44,43911543.84,46993427.25,44872691.97,44098868.08,53140988.46,79283.55707,164527.8918,49478438.94,44469235.26,46408469.77,42583333.11,49942324.64,44482209.3,41316416,44664317.96,85203587.48,45311477.19,46601341.81,,177897.4454,49275686.18,54559944.97,52935211.27,48357755.05,45878933.83,49664019.41,43324324.73,54594063.37,82480395.92,44223164.28,49432730.3,,174837.5311,45849104.6,46308706.66,46518635.37,52118166.85,51555475.48,46151572.29,54042833.18,51689529.86,47083212.35,51514964.34,46095910.76,,192054.2218,46275652.82,99614558.91,94709601.24,39185319.32,43873170.17,44657691.56,90257444.96,95074020.46,88129770.73,96352899.08,113935.9354,166097.2458,46494797.67,39170216.16,94513472.95,47336321.89,99566947.41,86592179.3,99185244.22,45399013.46,91803633.07,72004055.83,45588440.66,110927.6433,132069.5873,93079141.93,98381821.74,91056001.13,49911344.19,82855460.8,97770424.75,45022534.22,90423224.85,83900014.52,91878044.02,51570523.01
31,157.0131785,1.208436377,23433094.39,23864517.85,27207079.37,21354337.12,25194953.36,22514344.83,24634442.39,24769012.93,21570369.88,26072920.14,,126697.1652,23993933.16,19962755.79,25785374.98,24831484.78,23361106.92,24656756.89,24830947,25704597.72,22822467.91,13985331.88,22220658.05,,138758.6092,24744736.97,22181570.19,22992423.99,21592759.2,26307873.58,24386497.18,23973870.83,18572977.84,27266087.86,23216021.58,22821750.11,,146247.1633,24215614.36,24721786.55,25912184.2,23227514.47,20596284.62,22903532.28,23854934.76,25583247.65,21208795.04,22790295.68,22355620.68,,121415.5641,23363792.13,22635130.3,24529523.18,24147832.53,20927126.8,24242626.11,22384741.27,25291214.59,22860149.3,23789322.79,25135800.71,,164912.3307,21716213.07,22053289.05,20115164.33,22080251.3,23963026.02,21260910.68,20496833.63,21969374.28,19803289.84,23760362.59,22264327.86,,150362.9917,23970544.52,23055607.66,25805667.69,22387065.18,22518558.6,21743038.5,21354654.28,27013105.67,20828567.73,20648303.45,21950401.74,,166275.6484,22304247.06,22194265.33,21994618.59,24541768.25,25110397.58,22313271.94,25621428.12,25983740.44,22068236.46,25680600.46,21542600.41,,133271.6839,21158704.25,43589541.95,22361353.43,18073637.27,21212176.23,19893082.01,21367567.78,21414419.62,20582855.64,21799373.31,,133610.5649,24180210.19,19633658.15,20872239.06,23274703.92,22681486.5,19041505.75,23252037.54,21503168.35,21259969.12,17252035.6,23995629.54,,101043.0131,21865186.89,23394662.16,21511165.65,26674413.25,19258777.06,22619922.26,23411755.57,20500716.19,19125853.51,21666888.65,24042847.26
32,111.0076948,1.207707898,22696268.19,23530588.77,27186305.09,20533582.56,24210483.23,21904953.56,24212429.17,23901381.56,21754159.45,25510064.04,,,23736286.63,20107224.5,25470424.15,23835103.82,22623819.02,24301888.53,23388977.97,24551349,21089763.41,21770645.43,21035363.4,,,24675806.59,21685695.54,23195422.44,21190550.25,25230773.56,23532939.65,23144198.75,19225746.38,26115097.56,23052566.74,22239634.88,,,23988603.21,23863071.21,25573575.35,23554277.76,21130811.94,22967906.05,24070360.56,25796352.18,21412690.94,21552337.23,20853193.72,,,21990331.37,22012713.29,24736708.3,23181139.04,20889236.23,23028590.49,20859311.45,23501564.79,21696024.86,22743052.45,24058869.49,,,21299716.79,20423322.19,19677011.38,21025660.46,22985172.95,19758380.19,19378348.59,21433157.64,19756228.8,22747907.33,21533885.65,,,21860923.37,22221620.17,24467623.89,20343314.83,21002676.39,23545376.38,19418308.71,25447090.12,34077811.14,19120726.09,20421492.39,,,20585854.39,20208938.31,20611497.38,22392728.86,23142471.53,20612038.7,23244134.53,24436803.06,21272649.88,24250290.31,20200816.58,,,21738042.86,23185800.61,21450805.96,16839002.13,21231844.55,19730558.27,20491076.29,39202439.24,18980012.53,21006066.51,,,22698423.98,16569603.94,39201523.68,22376530.63,21453777.4,18500920.33,21792606.28,21150289.62,20271819.84,15981417.32,22815930.46,,,20280769.11,21877507.11,20429977.15,24696457.9,17434774.93,21154268.64,21879722.02,19172079.77,18263664.71,20292045.66,22440153.75
